Function,Category,Subcategory,Alice,Bob,Craig,Carol,Dave,Frank
Respond,RS.MA,RS.MA-04,3,4,4,4,5,4
Respond,RS.MA,RS.MA-05,0,0,0,5,5,0
Respond,RS.AN,RS.AN-03,0,1,0,0,5,0
Respond,RS.AN,RS.AN-06,4,3,3,3,5,3
Respond,RS.AN,RS.AN-07,2,2,3,2,5,2
Respond,RS.AN,RS.AN-08,2,1,1,1,5,1
Respond,RS.CO,RS.CO-02,1,1,1,1,5,0
Respond,RS.CO,RS.CO-03,3,2,3,2,5,3
Respond,RS.MI,RS.MI-01,2,2,2,2,5,2
Respond,RS.MI,RS.MI-02,0,0,5,5,5,0
Recover,RC.RP,RC.RP-01,0,0,1,1,5,1
Recover,RC.RP,RC.RP-02,4,3,3,3,5,3
Recover,RC.RP,RC.RP-03,0,5,5,0,5,5
Recover,RC.RP,RC.RP-04,4,4,4,4,5,4
Recover,RC.RP,RC.RP-05,5,0,5,5,5,5
Recover,RC.RP,RC.RP-06,1,0,1,0,6,0
Recover,RC.CO,RC.CO-03,2,1,2,1,5,1
Recover,RC.CO,RC.CO-04,0,5,5,5,6,0
